stage,type,X,Y
0,start,0.00200000,0.00200000
1,horizontal,0.00500000,0.00200000
1,vertical,0.00500000,0.00380000
2,horizontal,0.00950000,0.00380000
2,vertical,0.00950000,0.00650000
3,horizontal,0.01625000,0.00650000
3,vertical,0.01625000,0.01055000
4,horizontal,0.02637500,0.01055000
4,vertical,0.02637500,0.01662500
5,horizontal,0.04156250,0.01662500
5,vertical,0.04156250,0.02573750
6,horizontal,0.06434375,0.02573750
6,vertical,0.06434375,0.03940625
7,horizontal,0.09851562,0.03940625
7,vertical,0.09851562,0.05990937
