stage,x_theory,y_theory,section,x_real,y_real,x_theory_ref,y_theory_ref
1,0.9920794750402527,0.9960264916800843,rectifying,0.9920794750402527,0.9960264916800843,0.9920794750402527,0.9960264916800843
2,0.9843079196494658,0.9934359732164886,rectifying,0.9843079196494658,0.9934359732164886,0.9843079196494658,0.9934359732164886
3,0.9742427974802876,0.9900809324934292,rectifying,0.9742427974802876,0.9900809324934292,0.9742427974802876,0.9900809324934292
4,0.9614683963582663,0.9858227987860888,rectifying,0.9614683963582663,0.9858227987860888,0.9614683963582663,0.9858227987860888
5,0.9456064150740232,0.9754755603538442,stripping,0.9456064150740232,0.9754755603538442,0.9456064150740232,0.9754755603538442
6,0.9086251875724994,0.9372609811944074,stripping,0.9086251875724994,0.9372609811944074,0.9086251875724994,0.9372609811944074
7,0.788796094721178,0.8134354982738728,stripping,0.788796094721178,0.8134354982738728,0.788796094721178,0.8134354982738728
8,0.5215354613987055,0.5372615224943502,stripping,0.5215354613987055,0.5372615224943502,0.5215354613987055,0.5372615224943502
9,0.22496359162205157,0.2307987585535059,stripping,0.22496359162205157,0.2307987585535059,0.22496359162205157,0.2307987585535059
10,0.06977684849569378,0.07043642121754176,stripping,0.06977684849569378,0.07043642121754176,0.06977684849569378,0.07043642121754176
11,0.01860661393429758,0.01755962097685604,stripping,0.01860661393429758,0.01755962097685604,0.01860661393429758,0.01755962097685604
